ensaio,frequencia_hz,duty_percent,tensao_v_mean,tensao_v_std,tensao_v_max,corrente_a_mean,corrente_a_std,corrente_a_max,potencia_w_mean,potencia_w_std,potencia_w_max,accel_resultante_g_mean,accel_resultante_g_std,accel_resultante_g_max,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_max,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_max,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_max,audio_rms_mean,audio_rms_std,audio_rms_max,audio_peak_mean,audio_peak_std,audio_peak_max,audio_freq_hz_mean,audio_freq_hz_std,audio_freq_hz_max
1,5000,90,0.008402439024390243,0.0016090773070883478,0.011,0.01123170731707317,0.0020863979266527435,0.019,-0.07121951219512195,0.02516072993025652,0.0,1.0105182926829268,0.03950978040519021,1.0655,2.821792682926829,0.1014047917884125,3.0,0.36289024390243907,0.13264023616279672,0.97,0.19276829268292683,0.14526725466714982,1.277,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,10000,90,0.011015873015873017,0.018902544685743195,0.139,0.011158730158730158,0.0023085140396308084,0.014,-0.06857142857142857,0.02821902486010634,0.0,1.0240825396825397,0.1951357447618671,2.5092,10.719095238095239,43.699769951677006,250.13,1.3344603174603176,5.75418204950832,41.45,4.933,31.89362355625944,250.13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,15000,90,0.008015625,0.0023737465363950763,0.014,0.01128125,0.002066119359172942,0.015,-0.07375,0.02163917670000336,0.0,1.05693125,0.2706197929591806,2.3822,14.486859375,52.670960594356856,250.13,5.4235625,23.49841594652779,131.565,5.3038125,24.77819866934679,162.023,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,20000,90,0.008805555555555556,0.0026782319629887054,0.016,0.011375,0.001946014345010313,0.015,-0.06555555555555555,0.030987907177418523,0.0,1.0185694444444444,0.12131879972157732,1.8076,5.572652777777778,15.813641862716056,98.595,1.9285972222222223,10.024074309633914,78.679,0.4610972222222222,1.5853107498258194,11.702,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
1,25000,90,0.008943661971830986,0.0026666582830183433,0.014,0.011450704225352113,0.002033917629982424,0.015,-0.07098591549295774,0.025475754836845214,0.0,1.0071788732394364,0.05724191749681589,1.2866,4.694718309859155,11.438346881287519,90.962,1.6182253521126762,8.281516788603373,64.847,1.8119577464788732,9.670818253808163,64.824,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2,5000,90,0.006,0.004242640687119284,0.009,0.0115,0.002121320343559642,0.013,-0.04,0.0565685424949238,0.0,1.0498500000000002,0.00021213203435601938,1.05,2.7670000000000003,0.08909545442950507,2.83,0.396,0.04242640687119283,0.426,0.243,0.06081118318204306,0.286,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,5000,90,0.0083,0.00047016234598162723,0.009,0.0127,0.0013803127029389881,0.015,-0.08,0.0,-0.08,1.05077,0.013142181986581215,1.0713,2.848,0.0634499388245734,2.954,0.3526,0.1323000576838797,0.58,0.20299999999999999,0.10198348679539923,0.397,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,10000,90,0.0083,0.000470162345981627,0.009,0.0128,0.0014725559590832462,0.016,-0.076,0.017888543819998323,0.0,1.050915,0.016745722941757503,1.0753,2.847,0.05394246447544096,2.939,0.3507,0.08743424597044945,0.55,0.2365,0.10632794354706278,0.389,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,15000,90,0.008150000000000001,0.0004893604849295927,0.009,0.0128,0.0012396943596157716,0.015,-0.076,0.01788854381999832,0.0,1.050875,0.014805364426094796,1.0779,2.8288,0.047275897942987685,2.908,0.36535,0.1491090293428904,0.626,0.20365000000000003,0.10880512516953371,0.504,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,20000,90,0.00835,0.0004893604849295928,0.009,0.0129,0.0011652874052533587,0.016,-0.08,0.0,-0.08,1.047255,0.017740482251796755,1.0767,2.81155,0.07134753711678894,2.916,0.37275,0.1516189388947797,0.618,0.23384999999999997,0.1344189346781174,0.42,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,25000,90,0.0082,0.0005231483637805968,0.009,0.0129,0.001333771857710701,0.016,-0.076,0.017888543819998323,0.0,1.0528600000000001,0.01458457729030372,1.0742,2.8043,0.0918397345494055,2.939,0.3889,0.16160767959866004,0.687,0.21955,0.12809678700929725,0.458,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
