timestamp,firmware,ensaio,frequencia_hz,segundo,tensao_v,corrente_a,potencia_w,accel_x_g,accel_y_g,accel_z_g,accel_resultante_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,audio1_dbfs,audio1_peak_dbfs,audio2_dbfs,audio2_peak_dbfs
24/09/2026 10:41:26,V0.02,6,5000,1,31.779,0.291,8.689,0.9663,0.2491,0.2684,1.0334,2.95,0.481,0.324,-21.43,-9.49,-21.72,-10.16
24/09/2026 10:41:30,V0.02,6,5000,2,32.288,0.344,10.861,0.95,0.2814,0.274,1.0279,2.832,0.771,0.168,-22.12,-11.35,-22.71,-12.3
24/09/2026 10:41:33,V0.02,6,5000,3,32.079,0.357,11.218,0.9602,0.2428,0.1672,1.0044,2.893,0.42,0.328,-21.47,-12.65,-22.11,-13.32
24/09/2026 10:41:37,V0.02,6,5000,4,31.763,0.307,9.143,0.9697,0.2618,0.178,1.0201,2.954,0.198,0.405,-21.87,-13.05,-22.48,-13.05
24/09/2026 10:41:40,V0.02,6,5000,5,32.126,0.378,11.769,0.9685,0.2294,0.181,1.0116,2.969,0.443,0.313,-22.19,-12.37,-22.75,-12.35
24/09/2026 10:41:44,V0.02,6,5000,6,31.784,0.275,9.078,0.9661,0.2542,0.3396,1.0551,2.992,0.427,0.282,-21.29,-12.78,-21.57,-12.07
24/09/2026 10:41:47,V0.02,6,5000,7,31.603,0.297,8.883,0.9844,0.2308,0.2025,1.0312,3.084,0.183,0.328,-21.48,-11.5,-21.38,-10.81
24/09/2026 10:41:50,V0.02,6,5000,8,32.013,0.329,10.44,0.9768,0.2395,0.1702,1.02,3.015,0.153,0.412,-21.1,-11.69,-21.43,-11.69
24/09/2026 10:41:53,V0.02,6,5000,9,32.024,0.322,10.31,0.9645,0.2382,0.198,1.013,2.931,0.504,0.298,-22.27,-12.11,-22.47,-12.84
24/09/2026 10:41:57,V0.02,6,5000,10,32.182,0.345,10.926,0.9491,0.2941,0.3577,1.056,2.885,0.908,0.252,-21.31,-12.02,-21.55,-10.87
24/09/2026 10:42:00,V0.02,6,5000,11,31.695,0.284,9.045,0.95,0.2751,0.3418,1.0464,2.878,0.824,0.389,-21.81,-12.35,-22.31,-13.08
24/09/2026 10:42:03,V0.02,6,5000,12,32.155,0.327,10.829,0.9813,0.2451,0.2006,1.0312,3.069,0.183,0.336,-21.35,-12.3,-21.79,-12.91
24/09/2026 10:42:07,V0.02,6,5000,13,32.06,0.311,10.31,0.9473,0.2826,0.3063,1.0349,2.878,0.809,0.275,-20.68,-10.85,-20.98,-11.92
24/09/2026 10:42:10,V0.02,6,5000,14,32.164,0.365,11.218,0.9689,0.2439,0.363,1.063,2.954,0.374,0.321,-21.93,-13.47,-22.52,-13.72
24/09/2026 10:42:13,V0.02,6,5000,15,32.321,0.348,11.412,0.9552,0.2418,0.2067,1.0068,2.878,0.603,0.298,-21.4,-11.85,-22.0,-13.62
24/09/2026 10:42:17,V0.02,6,5000,16,32.12,0.342,10.958,0.9795,0.2161,0.1915,1.0212,2.931,0.115,0.115,-22.04,-13.47,-22.22,-12.82
24/09/2026 10:42:19,V0.02,6,5000,17,31.687,0.298,8.786,0.972,0.2667,0.1678,1.0219,3.008,0.29,0.328,-21.15,-12.73,-21.58,-11.46
24/09/2026 10:42:23,V0.02,6,5000,18,32.284,0.35,11.347,0.9813,0.2415,0.2098,1.0321,3.008,0.099,0.298,-21.13,-11.53,-21.39,-12.82
24/09/2026 10:42:28,V0.02,6,5000,19,32.103,0.325,10.796,0.9465,0.29,0.2953,1.0331,2.924,0.817,0.328,-20.83,-11.06,-21.18,-12.14
24/09/2026 10:42:31,V0.02,6,5000,20,32.183,0.337,11.088,0.9663,0.2618,0.2069,1.0223,2.962,0.55,0.344,-21.84,-13.32,-22.33,-13.14
